Item Managed by,External ID,Item Name/Number,Item Options,SIZE,COLOR,Packaging,NDC Item,Matrix Type,Subitem of,Display Name/Code,Vendor Name/Code,Manufacturer,UOM to Each,UOM to Each Type,Units Type,Stock Description,Purchase Price,Item Defined Cost,Base Price,Shipping Category,Shipping Rate,Logo - Free Shipping,Actual Shipping,Application,Product Name,Detailed Description,Web Store Description,Page Title,Meta Tag HTML,Warranty,Return Policy,Attribute Set,Original Description,Other Options,form,Catalogue,Catalogue hierarchy
AUTOMATION,1000000010,GR213-CS,Size,30 x 21 inch,,Case,,Child Matrix Item,1000000009,213,NDC Homecare LLC,Graham Medical,100,CS,Case,100/Case,20.74,21.777,26.962,,,,,,"Graham Medical Capes 30"" X 21"" - 100/cs",,,,,,,Supply Compression,"Exam Cape, TPT, 30"" x 21"", Mauve, 100/cs (110 cs/plt)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000010,GR219-CS,Size|Color,30 x 21 inch,Blue,Case,,Child Matrix Item,1000000009,219,NDC Homecare LLC,Graham Medical,100,CS,Case,100/Case,19.68,20.664,25.584,,,,,,"Graham Medical Capes 30"" X 21"", Blue - 100/cs",,,,,,,Supply Compression,"Exam Cape, TPT, 30"" x 21"", Blue, 100/cs (110 cs/plt)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000010,GR203-CS,Size,30 x 21 inch,,Case,,Child Matrix Item,1000000009,203,NDC Homecare LLC,Graham Medical,100,CS,Case,100/Case,19.7,20.685,25.61,,,,,,"Graham Medical Capes 30"" X 21"" - 100/cs",,,,,,,Supply Compression,"Exam Cape, 3-Ply Tissue, 30"" x 21"", Mauve, 100/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000010,GR44504-CS,Size|Color,30 x 21 inch,White,Case,,Child Matrix Item,1000000009,44504,NDC Homecare LLC,Graham Medical,,CS,Case,,16.12,16.926,20.956,,,,,,"Graham Medical Capes 30"" X 21"", White",,,,,,,Supply Compression,"Exam Cape, TPT, 30"" x 21"", White, 100/cs (70 cs/plt)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000010,GR44505-CS,Size|Color,30 x 21 inch,Blue,Case,,Child Matrix Item,1000000009,44505,NDC Homecare LLC,Graham Medical,100,CS,Case,100/Case,16.12,16.926,20.956,,,,,,"Graham Medical Capes 30"" X 21"", Blue - 100/cs",,,,,,,Supply Compression,"Exam Cape, TPT, 30"" x 21"", Blue, 100/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000015,GR44130-MI,,,,,,Parent Matrix Item,,44130,NDC Homecare LLC,Graham Medical,,,,,,,,,,,,,Graham Medical Cellucotton Coil,"<p>Cotton beauty coil is ideal for facials, skin care, manicures, and perms.</p>","<p>Cotton beauty coil is ideal for facials, skin care, manicures, and perms.</p>",Graham Medical Cellucotton Coil|44130,"<meta name= ""description"" content=""Buy Graham Medical Cellucotton Coil at best price from medicaleshop.com"" /><meta name=""keywords"" content=""44130"" />",<ul><li>The product warranty is applicable as per the terms and conditions provided by the product manufacturer.</li></ul><p><b>Please call us for specific details.</b></p>,"<ul><li>No returns will be accepted after 30 days from the date of shipment.</li><li>All returns are subject to a restocking fee as per manufacturers terms and conditions.</li><li>All returns must have an RGA number (Returned Goods Authorization), unauthorized returns will not be accepted.</li><li>We do not guarantee fulfillment of any desired purpose or product suitability to the user and this will not be considered as a valid reason for return.</li><li><b>The products must be new, unused condition, not tampered with, in original packaging and returned at the customers expense in the original packaging.</b></li><li>If your return is not due to any manufacturing defect then the original shipping cost will be deducted from the total refund.</li><li>Hygiene, bath and toilet items cannot be returned once opened or used.</li><li>Standard manufacturer terms and conditions apply for return policy of this product.</li></ul><p><b>Please call us for specific details.</b>",Supply Compression,,,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000016,GR42251-CS,Color,,White,Case,,Child Matrix Item,1000000015,42251,NDC Homecare LLC,Graham Medical,12,CS,Case,12/Case,30.53,32.0565,39.689,,,,,,"Graham Medical Cellucotton Coil 40 Ft, White - 12/cs",,,,,,,Supply Compression,"Cotton Coil, 40 ft, White, 12/cs","[{""text"":""40 ft"",""tag"":""ITEM OPTION""}]",MES PART FORM,Walking Aids,Master
AUTOMATION,1000000017,GR44130-CS,Color|Size,40 ft,White,Case,,Child Matrix Item,1000000015,44130,NDC Homecare LLC,Graham Medical,12,CS,Case,12/Case,30.35,31.8675,39.455,,,,,,"Graham Medical Cellucotton Coil White, 40 Ft - 12/cs",,,,,,,Supply Compression,"Cotton & Rayon Coil, White, 40 ft, 12/cs  (60 cs/plt)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000018,GR49020-MI,,,,,,Parent Matrix Item,,49020,NDC Homecare LLC,Graham Medical,,,,,,,,,,,,,Graham Medical Chiropractic Quality Headrest Papers,<p>High-quality medical-grade. These rolls fit a variety of table styles and preferences making them ideal for chiropractic offices or massage therapy.</p>,<p>High-quality medical-grade. These rolls fit a variety of table styles and preferences making them ideal for chiropractic offices or massage therapy.</p>,Graham Medical Chiropractic Quality Headrest Papers|49020,"<meta name= ""description"" content=""Buy Graham Medical Chiropractic Quality Headrest Papers at best price from medicaleshop.com"" /><meta name=""keywords"" content=""49020"" />",<ul><li>The product warranty is applicable as per the terms and conditions provided by the product manufacturer.</li></ul><p><b>Please call us for specific details.</b></p>,"<ul><li>No returns will be accepted after 30 days from the date of shipment.</li><li>All returns are subject to a restocking fee as per manufacturers terms and conditions.</li><li>All returns must have an RGA number (Returned Goods Authorization), unauthorized returns will not be accepted.</li><li>We do not guarantee fulfillment of any desired purpose or product suitability to the user and this will not be considered as a valid reason for return.</li><li><b>The products must be new, unused condition, not tampered with, in original packaging and returned at the customers expense in the original packaging.</b></li><li>If your return is not due to any manufacturing defect then the original shipping cost will be deducted from the total refund.</li><li>Hygiene, bath and toilet items cannot be returned once opened or used.</li><li>Standard manufacturer terms and conditions apply for return policy of this product.</li></ul><p><b>Please call us for specific details.</b>",Supply Compression,,,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000019,GR902-CS,Size|Color,12 x 12 inch,White,Case,,Child Matrix Item,1000000018,902,NDC Homecare LLC,Graham Medical,1000,CS,Case,1000/Case,11.9,12.495,15.47,,,,,,"Graham Medical Chiropractic Quality Headrest Papers 12"" X 12"", White - 1000/cs",,,,,,,Supply Compression,"Chiropractic Headrest Sheet, 12"" x 12"", White Smooth, 1000/cs (54 cs/plt) (020202)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000019,GR49020-CS,Size|Color,8½ inch x 225 ft,White,Case,,Child Matrix Item,1000000018,49020,NDC Homecare LLC,Graham Medical,,CS,Case,,26.98,28.329,35.074,,,,,,"Graham Medical Chiropractic Quality Headrest Papers 8½"" X 225 Ft, White",,,,,,,Supply Compression,"Chiropractic Headrest Roll, 8½"" x 225 ft, Economy, White, Smooth, 25/cs (54 cs/plt)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000020,GR904-CS,Size|Color,12 x 12 inch,White,Case,,Child Matrix Item,1000000018,904,NDC Homecare LLC,Graham Medical,1000,CS,Case,1000/Case,15.3,16.065,19.89,,,,,,"Graham Medical Chiropractic Quality Headrest Papers 12"" X 12"", White - 1000/cs",,,,,,,Supply Compression,"Chiropractic Headrest Sheet, Face Slot, 12"" x 12"", White, Smooth, 1000/cs (54 cs/plt) (020203)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000020,GR090-CS,Size|Color,8½ inch x 225 ft,White,Case,,Child Matrix Item,1000000018,90,NDC Homecare LLC,Graham Medical,,CS,Case,,29.52,30.996,38.376,,,,,,"Graham Medical Chiropractic Quality Headrest Papers 8½"" X 225 Ft, White",,,,,,,Supply Compression,"Chiropractic Headrest Roll, 8½"" x 225 ft, Standard, White, Smooth, 25/cs (54 cs/plt) (020200)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000020,GR905-CS,Size|Color,12 x 24 inch,White,Case,,Child Matrix Item,1000000018,905,NDC Homecare LLC,Graham Medical,1000,CS,Case,1000/Case,29.4,30.87,38.22,,,,,,"Graham Medical Chiropractic Quality Headrest Papers 12"" X 24"", White - 1000/cs",,,,,,,Supply Compression,"Chiropractic Headrest Sheet, Face Slot, 12"" x 24"", White, Smooth, 1000/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000020,GR12081-CS,Size|Color,12½ inch x 225 ft,White,Case,,Child Matrix Item,1000000018,12081,NDC Homecare LLC,Graham Medical,,CS,Case,,30.52,32.046,39.676,,,,,,"Graham Medical Chiropractic Quality Headrest Papers 12½"" X 225 Ft, White",,,,,,,Supply Compression,"Chiropractic Headrest Roll, 12½"" x 225 ft, White, Smooth, 12/cs (020201)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000019,GR13771-CS,Size|Color,12½ inch x 125 ft,"White, Crepe",Case,,Child Matrix Item,1000000018,13771,NDC Homecare LLC,Graham Medical,12,CS,Case,12/Case,18.7,19.635,24.31,,,,,,"Graham Medical Chiropractic Quality Headrest Papers 12½"" X 125 Ft, White, Crepe - 12/cs",,,,,,,Supply Compression,"Chiropractic Headrest Roll, 12½"" x 125 ft, White, Crepe, 12/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000019,GR091-CS,Size|Color,8½ inch x 125 ft,"White, Crepe",Case,,Child Matrix Item,1000000018,91,NDC Homecare LLC,Graham Medical,25,CS,Case,25/Case,21.82,22.911,28.366,,,,,,"Graham Medical Chiropractic Quality Headrest Papers 8½"" X 125 Ft, White, Crepe - 25/cs",,,,,,,Supply Compression,"Chiropractic Headrest Roll, 8½"" x 125 ft, White, Crepe, 25/cs (30 cs/plt) (090944)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000027,GR16170-MI,,,,,,Parent Matrix Item,,16170,NDC Homecare LLC,Graham Medical,,,,,,,,,,,,,Graham Medical Dental Towels,<p>2-ply patient bibs are comprised of two layers of tissue with a poly backing. The tissue layers absorb fluids while the poly backing resists any soak-through for maximum protection.</p>,<p>2-ply patient bibs are comprised of two layers of tissue with a poly backing. The tissue layers absorb fluids while the poly backing resists any soak-through for maximum protection.</p>,Graham Medical Dental Towels|16170,"<meta name= ""description"" content=""Buy Graham Medical Dental Towels at best price from medicaleshop.com"" /><meta name=""keywords"" content=""16170"" />",<ul><li>The product warranty is applicable as per the terms and conditions provided by the product manufacturer.</li></ul><p><b>Please call us for specific details.</b></p>,"<ul><li>No returns will be accepted after 30 days from the date of shipment.</li><li>All returns are subject to a restocking fee as per manufacturers terms and conditions.</li><li>All returns must have an RGA number (Returned Goods Authorization), unauthorized returns will not be accepted.</li><li>We do not guarantee fulfillment of any desired purpose or product suitability to the user and this will not be considered as a valid reason for return.</li><li><b>The products must be new, unused condition, not tampered with, in original packaging and returned at the customers expense in the original packaging.</b></li><li>If your return is not due to any manufacturing defect then the original shipping cost will be deducted from the total refund.</li><li>Hygiene, bath and toilet items cannot be returned once opened or used.</li><li>Standard manufacturer terms and conditions apply for return policy of this product.</li></ul><p><b>Please call us for specific details.</b>",Supply Compression,,,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000028,GR80037-CS,Size|Color,13.5x18 inch,Black,Case,,Child Matrix Item,1000000027,80037,NDC Homecare LLC,Graham Medical,500,CS,Case,500/Case,19.7,20.685,25.61,,,,,,"Graham Medical Dental Towels 13.5”x18”, Black - 500/cs",,,,,,,Supply Compression,"Towel, TTP, 13.5”x18”, Black Economy, 500/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000029,GR16169-CS,Color|Size|Color,16½ x 19 inch,White,Case,,Child Matrix Item,1000000027,16169,NDC Homecare LLC,Graham Medical,500,CS,Case,500/Case,19.7,20.685,25.61,,,,,,"Graham Medical Dental Towels Ttp, 16½"" X 19"", White - 500/cs",,,,,,,Supply Compression,"Dental Towel, TTP, 16½"" x 19"", White, 500/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000030,GR80036-CS,Size|Color,13.5x18 inch,Black,Case,,Child Matrix Item,1000000027,80036,NDC Homecare LLC,Graham Medical,,CS,Case,,22.9,24.045,29.77,,,,,,"Graham Medical Dental Towels 13.5”x18”, Black",,,,,,,Supply Compression,"Towel, TTP, 13.5”x18”, Black Premium, 500/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000031,GR16161-CS,Size|Color,12 x 24½ inch,White,Case,,Child Matrix Item,1000000027,16161,NDC Homecare LLC,Graham Medical,1000,CS,Case,1000/Case,36.26,38.073,47.138,,,,,,"Graham Medical Dental Towels 12"" X 24½"", White - 1000/cs",,,,,,,Supply Compression,"PST 1601 Towel, Smooth, 2-Ply, 12"" x 24½"", White, 125/pk, 8 pk/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000029,GR16159-CS,Size|Color,12 x 24½ inch,White,Case,,Child Matrix Item,1000000027,16159,NDC Homecare LLC,Graham Medical,500,CS,Case,500/Case,19.1,20.055,24.83,,,,,,"Graham Medical Dental Towels 12"" X 24½"", White - 500/cs",,,,,,,Supply Compression,"PST 158 Towel, Huck Finish, 2-Ply, 12"" x 24½"", White, 500/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000030,GR16171-CS,Color|Size,16½ x 19 inch,TTP,Case,,Child Matrix Item,1000000027,16171,NDC Homecare LLC,Graham Medical,500,CS,Case,500/Case,20.7,21.735,26.91,,,,,,"Graham Medical Dental Towels Ttp, 16½"" X 19"" - 500/cs",,,,,,,Supply Compression,"Dental Towel, TTP, 16½"" x 19"", Mauve, 500/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000030,GR16168-CS,Color|Size|Color,16½ x 19 inch,Blue,Case,,Child Matrix Item,1000000027,16168,NDC Homecare LLC,Graham Medical,500,CS,Case,500/Case,20.7,21.735,26.91,,,,,,"Graham Medical Dental Towels Ttp, 16½"" X 19"", Blue - 500/cs",,,,,,,Supply Compression,"Dental Towel, TTP, 16½"" x 19"", Blue, 500/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000028,GR16170-CS,Color|Size|Color,16½ x 19 inch,Yellow,Case,,Child Matrix Item,1000000027,16170,NDC Homecare LLC,Graham Medical,500,CS,Case,500/Case,20.7,21.735,26.91,,,,,,"Graham Medical Dental Towels Ttp, 16½"" X 19"", Yellow - 500/cs",,,,,,,Supply Compression,"Dental Towel, TTP, 16½"" x 19"", Yellow, 500/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000030,GR16187-CS,Color|Size,13 x 19 inch,TTP,Case,,Child Matrix Item,1000000027,16187,NDC Homecare LLC,Graham Medical,500,CS,Case,500/Case,15.45,16.2225,20.085,,,,,,"Graham Medical Dental Towels Ttp, 13"" X 19"" - 500/cs",,,,,,,Supply Compression,"Dental Towel, TTP, 13"" x 19"", Mauve, 500/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000037,GR78684-MI,,,,,,Parent Matrix Item,,78684,NDC Homecare LLC,Graham Medical,,,,,,,,,,,,,Graham Medical Disposable Elite Non-woven Scrubs,<p></p>,<p></p>,Graham Medical Disposable Elite Non-woven Scrubs|78684,"<meta name= ""description"" content=""Buy Graham Medical Disposable Elite Non-woven Scrubs at best price from medicaleshop.com"" /><meta name=""keywords"" content=""78684"" />",<ul><li>The product warranty is applicable as per the terms and conditions provided by the product manufacturer.</li></ul><p><b>Please call us for specific details.</b></p>,"<ul><li>No returns will be accepted after 30 days from the date of shipment.</li><li>All returns are subject to a restocking fee as per manufacturers terms and conditions.</li><li>All returns must have an RGA number (Returned Goods Authorization), unauthorized returns will not be accepted.</li><li>We do not guarantee fulfillment of any desired purpose or product suitability to the user and this will not be considered as a valid reason for return.</li><li><b>The products must be new, unused condition, not tampered with, in original packaging and returned at the customers expense in the original packaging.</b></li><li>If your return is not due to any manufacturing defect then the original shipping cost will be deducted from the total refund.</li><li>Hygiene, bath and toilet items cannot be returned once opened or used.</li><li>Standard manufacturer terms and conditions apply for return policy of this product.</li></ul><p><b>Please call us for specific details.</b>",Supply Compression,,,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000038,GR78684-CS,Color,,Green,Case,,Child Matrix Item,1000000037,78684,NDC Homecare LLC,Graham Medical,30,CS,Case,30/Case,59.72,62.706,77.636,,,,,,Graham Medical Disposable Elite Non-woven Scrubs Green - 30/cs,,,,,,,Supply Compression,"Scrub Pants, 4XL-5XL, Nonwoven, Green, 30/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000039,GR84467-CS,Size|Color,3X-Large,Blue,Case,,Child Matrix Item,1000000037,84467,NDC Homecare LLC,Graham Medical,30,CS,Case,30/Case,55.25,58.0125,71.825,,,,,,"Graham Medical Disposable Elite Non-woven Scrubs 3x-large, Blue - 30/cs",,,,,,,Supply Compression,"Scrub Pants, 3X-Large, Elastic Waist, Nonwoven, Blue, 30/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000040,GR84599-CS,Size|Color,Large,Blue,Case,,Child Matrix Item,1000000037,84599,NDC Homecare LLC,Graham Medical,30,CS,Case,30/Case,47.41,49.7805,61.633,,,,,,"Graham Medical Disposable Elite Non-woven Scrubs Large, Blue - 30/cs",,,,,,,Supply Compression,"Scrub Pants, Large, Elastic Waist, Nonwoven, Blue, 30/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000041,GR74699-CS,Size,X-Large,,Case,,Child Matrix Item,1000000037,74699,NDC Homecare LLC,Graham Medical,30,CS,Case,30/Case,51.6,54.18,67.08,,,,,,Graham Medical Disposable Elite Non-woven Scrubs X-large - 30/cs,,,,,,,Supply Compression,"Scrub Shirt, X-Large, V-Neck, No Pocket, Nonwoven, Maroon, 30/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000042,GR80496-CS,Size,X-Large,,Case,,Child Matrix Item,1000000037,80496,NDC Homecare LLC,Graham Medical,20,CS,Case,20/Case,63.14,66.297,82.082,,,,,,Graham Medical Disposable Elite Non-woven Scrubs X-large - 20/cs,,,,,,,Supply Compression,"Scrubs Set, Shirt & Pants, V-Neck, No Pocket, Elastic Waist, Teal with White Trim, X-Large, Latex Free (LF), 20/cs",,MES PART FORM,Walking Aids,Master
